model,model_class,log,sqrt,asinh,boxcox,yeojohnson,quantile
МНК,линейные,0.45534138282810366,0.45534138282810366,0.45534138282810366,-0.4185339558133514,-0.4185339558133514,-0.4185339558133514
Ridge,линейные,0.45534138282810366,0.45534138282810366,0.45534138282810366,0.45534138282810366,0.45534138282810366,-0.4185339558133514
Lasso,линейные,0.45534138282810366,0.45534138282810366,0.45534138282810366,-0.4185339558133514,-0.4185339558133514,1.6183736546722913
Random Forest,древесные,,,,,,
XGBoost,древесные,,,,,,
MLP,нейросетевые,,,,,,
Gamma GLM,glm,,,,,,
Tweedie GLM,glm,,,,,,
XGB-Gamma,древесные-glm-loss,,,,,,
XGB-Tweedie,древесные-glm-loss,,,,,,
